"Case.Study.ID","Location","Region.or.district","Study.Date..start.","Study.Date..end.","State","Land tenure","Fire development stage","Primary AFT","Secondary AFT","Tertiary AFT"
"162a","Bluestem Grazing Region","Kansas","1880","1990","Kansas",NA,"Transition","Pastoralist","Livestock farmer, Extensive",NA
"163a","Sierra Nevada Foothills","California","2001","2002","California","Mixed","Transition","Livestock farmer, Extensive","Pastoralist","Forestry, Industrial"
"215a","Karuk and Yurok Tribal Areas","California","2008","2009","California","Mixed","Transition","Forestry, Industrial","Conservationist (Pyro-diversity)","Hunter-gatherer (hunting focused)"
"217a","Indiana Summit","California","2016","2017","California","Centrally-allocated","Post-industrial","Conservationist","Hunter-gatherer (gathering focused)",NA
"226a","Colville National Forest","Washington","2015","2015","Washington","Centrally-allocated","Post-industrial","Conservationist (Pyro-diversity)","Forestry (managed)","Hunter-gatherer (gathering focused)"
"232a",NA,"Alaska","1950","2004","Alaska","Mixed","Industrial","ND",NA,NA
"232b","Yukon Flats","Alaska","1950","2004","Alaska","Centrally-allocated","Transition","Hunter-gatherer (gathering focused)",NA,NA
"241a","Grand River Grasslands","Iowa","2014","2014","Iowa","Mixed","Post-industrial","Livestock farmer, Intensive","Recreationalist","Conservationist (Pyro-diversity)"
"242a","Grand River Grasslands","Iowa","2008","2008","Iowa","Private","Post-industrial","Livestock farmer, Intensive","Recreationalist",NA
"246a","North Fork","California","2013","2015","California","Centrally-allocated","Post-industrial","Conservationist (Pyro-diversity)","Hunter-gatherer (gathering focused)","Forestry, Industrial"
"251a","Karuk Tribal Lands","California","1990","2014","California","Centrally-allocated","Post-industrial","Conservationist","Hunter-gatherer (gathering focused)","Forestry, Industrial"
"258a","Nothern California","California","2007","2015","California","Mixed","Post-industrial","Conservationist (Pyro-diversity)","Urban resident","Forestry (managed)"
"258b","Southern California","California","2003","2018","California","Mixed","Post-industrial","Conservationist (Pyro-diversity)","Urban resident","Forestry (managed)"
"258c","Sequoia and Kings Canyon National Parks","California","1960","2017","California","Centrally-allocated","Industrial","Conservationist (Pyro-diversity)","Forestry (managed)",NA
"258d","Yosemite National Park","California","1960","2017","California","Centrally-allocated","Industrial","Conservationist (Pyro-diversity)","Forestry (managed)",NA
"258e","Lassen Volcanic National Park","California","1960","2017","California","Centrally-allocated","Industrial","Conservationist (Pyro-diversity)","Forestry (managed)",NA
"285a","Fairbanks","Alaska","1988","2016","Alaska","Mixed","Industrial","Urban resident","Forestry, Industrial",NA
"285b",NA,"Alaska","1988","2016","Alaska","Mixed","Industrial","Forestry, Industrial","Urban resident",NA
"287a","Angeles National Forest","California","1980","2007","California","Centrally-allocated","Industrial","Forestry (managed)",NA,NA
"287b","Los Padres National Forest","California","1980","2007","California","Centrally-allocated","Industrial","Forestry (managed)",NA,NA
"287c","San Bernardino National Forest","California","1980","2007","California","Centrally-allocated","Industrial","Forestry (managed)",NA,NA
"287d","Cleveland National Forest","California","1980","2007","California","Centrally-allocated","Industrial","Forestry (managed)",NA,NA
"288a","Eastern Cascades","Oregon","1905","1924","Oregon","Centrally-allocated","Industrial","Forestry (managed)",NA,NA
"288b","Eastern Cascades","Oregon","1925","1975","Oregon","Centrally-allocated","Industrial","Forestry (managed)",NA,NA
"288c","Eastern Cascades","Oregon","1976","1995","Oregon","Centrally-allocated","Industrial","Forestry (managed)","Conservationist","Recreationalist"
"288d","Eastern Cascades","Oregon","1995","2010","Oregon","Centrally-allocated","Industrial","Forestry (managed)","Conservationist","Recreationalist"
"288e","Eastern Cascades","Oregon","1911","1924","Oregon","Private","Industrial","Forestry (managed)",NA,NA
"288f","Eastern Cascades","Oregon","1925","1997","Oregon","Private","Industrial","Forestry (managed)",NA,NA
"288g","Eastern Cascades","Oregon","1998","2010","Oregon","Private","Industrial","Forestry (managed)",NA,NA
"288h","Warm Springs Reservation","Oregon","1910","1924","Oregon","Centrally-allocated","Industrial","Forestry (managed)",NA,NA
"288i","Warm Springs Reservation","Oregon","1925","1975","Oregon","Centrally-allocated","Industrial","Forestry (managed)",NA,NA
"288j","Warm Springs Reservation","Oregon","1976","1995","Oregon","Centrally-allocated","Industrial","Forestry (managed)","Conservationist","Recreationalist"
"288k","Warm Springs Reservation","Oregon","1996","2010","Oregon","Centrally-allocated","Industrial","Forestry (managed)","Conservationist","Recreationalist"
"297a","Pawnee National Grassland","Colorado","2007","2010","Colorado","Mixed","Industrial","Conservationist (Pyro-diversity)","Livestock farmer, Intensive",NA
"299a","Whiskey Hill","Idaho","2004","2010","Idaho",NA,"Transition","Livestock farmer, Extensive",NA,NA
"306a",NA,"CONUS","1999","2012","Kansas","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306aa",NA,"Great Plains Tablelands","1999","2012","New Mexico","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ab",NA,"Southern Rocky Mountains","1999","2012","Colorado","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ac",NA,"Wyoming Highlands","1999","2012","Wyoming","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ad",NA,"Northwestern Great Plains","1999","2012","North Dakota","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ae",NA,"Sandhills","1999","2012","South Dakota","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306af",NA,"Southeastern Great Plains","1999","2012","Kansas","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ag",NA,"Western Great Plains","1999","2012","Nebraska","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ah",NA,"Southern Great Plains","1999","2012","Colorado","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ai",NA,"Edwards Plateau","1999","2012","Texas","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306aj",NA,"Western Gulf Plains","1999","2012","Texas","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ak",NA,"Ouachita Hills","1999","2012","Louisiana","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306al",NA,"Eastern Great Plains","1999","2012","Nebraska","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306am",NA,"Prarie Coteau Lands","1999","2012","South Dakota","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306an",NA,"Northern Great Plains","1999","2012","North Dakota","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ao",NA,"Northern Lake Country","1999","2012","Minnesota","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ap",NA,"Western Till Plains","1999","2012","Minnesota","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306aq",NA,"Till Plains","1999","2012","Iowa","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ar",NA,"Ozark Highlands","1999","2012","Missouri","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306as",NA,"Mississippi Alluvial Plains","1999","2012","Missouri","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306at",NA,"Gulf Plains","1999","2012","Tennessee","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306au",NA,"Appalachia Bluegrass Hills","1999","2012","Kentucky","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306av",NA,"Cumberland Highlands","1999","2012","Tennessee","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306aw",NA,"Central Till Plains","1999","2012","Illinois","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ax",NA,"Central Great Lakes Uplands","1999","2012","Wisconsin","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ay",NA,"Great Lakes Plains","1999","2012","Michigan","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306az",NA,"Eastern Till Plains","1999","2012","Indiana","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306b",NA,"Northern Cascades","1999","2012","Washington","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306ba",NA,"Appallachia","1999","2012","Kentucky","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bb",NA,"Southern Piedmont","1999","2012","Georgia","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bc",NA,"Southeastern Coastal Plains","1999","2012","Florida","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bd",NA,"Floridian Coastal Plain","1999","2012","Georgia","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306be",NA,"Southern Appalachia","1999","2012","Virginia","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bf",NA,"Eastern Coastal Plain","1999","2012","North Carolina","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bg",NA,"Northeastern Piedmont","1999","2012","North Carolina","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
"306bh",NA,"Chesapeake Bay","1999","2012","North Carolina","Centrally-allocated","Industrial","Fire suppression agent",NA,NA
