"","State","Year","Fire intention","Presence / Absence","Count","Number of fires, land cover (# km2-1 year-1)","Number of total, total (# km2-1 year-1)","Intended fire size min (ha)","Actual fire size min (ha)","Intended fire size max (ha)","Actual fire size max (ha)","Intended fire size mean (ha)","Actual fire size mean (ha)","Intended fire size median (ha)","Actual fire size median (ha)","Intended burned area % (land cover)","Actual burned area % (land cover)","Intended Burned area % (total)","Actual Burned area % (total)","Fire return period (years)"
"1","Alabama",1990,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
"2","Alabama",1990,"ND","Presence",1,NA,NA,NA,NA,NA,1880,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Alabama",2000,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Alaska",1990,"Hunter gatherer","Absence",2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"5","Alaska",1990,"Hunter gatherer","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Alaska",1990,"Pyrome management","Absence",4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"7","Alaska",1990,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Alaska",1990,"ND","Presence",4,NA,0.0281173333333333,NA,NA,NA,NA,NA,0.0372093023255814,NA,NA,NA,NA,NA,3.83,NA
"9","Alaska",2010,"Hunter gatherer","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Alaska",2010,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Arizona",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,412.5,NA,NA,NA,NA,NA,NA,NA
"12","Arizona",1990,"ND","Presence",3,NA,NA,NA,0.5,NA,87100.3333333333,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"13","Arkansas",1990,"ND","Presence",4,NA,NA,NA,NA,NA,2614.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Arkansas",2000,"Crop residue burning","Presence",9,NA,0.084875,NA,NA,NA,NA,15,NA,NA,NA,NA,8.85318928204348,NA,1.26282412751886,NA
"15","Arkansas",2010,"Pasture management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","California",1990,"Hunter gatherer","Absence",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"17","California",1990,"Hunter gatherer","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","California",1990,"Other","Absence",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"19","California",1990,"Other","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","California",1990,"Pyrome management","Absence",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"21","California",1990,"Pyrome management","Presence",17,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,2.5,NA,2.5,0.112183908045977,NA
"22","California",1990,"ND","Presence",11,0.0197118415333647,0.0197118415333647,NA,0.5,NA,86572,NA,NA,NA,0.5,NA,NA,NA,NA,27.75
"23","California",2000,"Hunter gatherer","Presence",1,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,2.5,NA,NA,3
"24","California",2000,"Other","Presence",2,NA,NA,NA,NA,NA,62500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","California",2000,"Pasture management","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","California",2000,"Pyrome management","Presence",8,NA,NA,0.5,0.5,7500,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","California",2000,"ND","Presence",2,NA,NA,NA,NA,NA,62500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","California",2010,"Hunter gatherer","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","California",2010,"Pyrome management","Absence",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"30","California",2010,"Pyrome management","Presence",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","California",2010,"ND","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Colorado",1990,"Pyrome management","Presence",3,NA,NA,NA,NA,NA,NA,NA,153.333333333333,NA,NA,NA,NA,NA,NA,NA
"33","Colorado",1990,"ND","Presence",2,NA,NA,NA,0.5,NA,50380,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"34","Colorado",2000,"Pasture management","Absence",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"35","Colorado",2000,"Pyrome management","Absence",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"36","Colorado",2000,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00674530540302352,NA
"37","Connecticut",1990,"ND","Presence",1,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Florida",1990,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA
"39","Florida",1990,"ND","Presence",2,NA,NA,NA,NA,NA,94534.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Florida",2000,"Crop residue burning","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.2631578947368,NA
"41","Florida",2010,"ND","Presence",3,NA,NA,1,NA,30000,NA,212.4,35,NA,NA,NA,NA,NA,NA,NA
"42","Georgia",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA
"43","Georgia",1990,"ND","Presence",2,NA,NA,NA,NA,NA,2068.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Georgia",2000,"ND","Absence",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"45","Georgia",2000,"ND","Presence",1,NA,NA,NA,NA,NA,NA,NA,303,NA,NA,NA,NA,NA,NA,NA
"46","Georgia",2010,"Crop residue burning","Presence",1,NA,0.0755,NA,0.404686,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
"47","Georgia",2010,"Pasture management","Presence",1,NA,0.006,NA,0.404686,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
"48","Georgia",2010,"ND","Presence",1,NA,NA,1,NA,2206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Idaho",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,192.5,NA,NA,NA,NA,NA,NA,NA
"50","Idaho",1990,"ND","Presence",2,NA,NA,NA,NA,NA,100362.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Idaho",2000,"Crop residue burning","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Idaho",2000,"Hunter gatherer","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Idaho",2000,"Other","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Idaho",2000,"Pasture management","Presence",1,NA,NA,NA,NA,NA,NA,131,98,NA,NA,NA,NA,NA,NA,3
"55","Idaho",2000,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Illinois",1990,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA
"57","Illinois",1990,"ND","Presence",2,NA,NA,NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA
