"","STATE","Year","CAUSE","FIRETYPE","SIZECLASS","count"
"1","Alabama",1990,"","Support action/Assist fire",NA,1
"2","Alabama",1990,"Human","Active/Suppressed",0.05,5
"3","Alabama",1990,"Human","Active/Suppressed",2,10
"4","Alabama",1990,"Human","Active/Suppressed",22,2
"5","Alabama",1990,"Human","Unknown",0.05,12
"6","Alabama",1990,"Human","Unknown",2,39
"7","Alabama",1990,"Human","Unknown",22,33
"8","Alabama",1990,"Human","Unknown",80,2
"9","Alabama",1990,"Natural","Active/Suppressed",0.05,1
"10","Alabama",1990,"Natural","Active/Suppressed",2,1
"11","Alabama",1990,"Natural","Unknown",22,1
"12","Alabama",1991,"Human","Active/Suppressed",0.05,3
"13","Alabama",1991,"Human","Active/Suppressed",2,8
"14","Alabama",1991,"Human","Active/Suppressed",22,4
"15","Alabama",1991,"Human","Unknown",0.05,6
"16","Alabama",1991,"Human","Unknown",2,38
"17","Alabama",1991,"Human","Unknown",22,11
"18","Alabama",1991,"Human","Unknown",80,1
"19","Alabama",1991,"Natural","Active/Suppressed",262.5,1
"20","Alabama",1991,"Natural","Unknown",2,16
"21","Alabama",1991,"Natural","Unknown",22,4
"22","Alabama",1992,"Human","Active/Suppressed",0.05,4
"23","Alabama",1992,"Human","Active/Suppressed",2,5
"24","Alabama",1992,"Human","Active/Suppressed",22,3
"25","Alabama",1992,"Human","Active/Suppressed",80,1
"26","Alabama",1992,"Human","Unknown",0.05,16
"27","Alabama",1992,"Human","Unknown",2,29
"28","Alabama",1992,"Human","Unknown",22,16
"29","Alabama",1992,"Human","Unknown",80,1
"30","Alabama",1992,"Natural","Unknown",0.05,1
"31","Alabama",1992,"Natural","Unknown",2,13
"32","Alabama",1992,"Natural","Unknown",22,1
"33","Alabama",1993,"Human","Active/Suppressed",0.05,1
"34","Alabama",1993,"Human","Active/Suppressed",2,11
"35","Alabama",1993,"Human","Active/Suppressed",22,9
"36","Alabama",1993,"Human","Active/Suppressed",80,1
"37","Alabama",1993,"Human","Natural out",2,2
"38","Alabama",1993,"Human","Unknown",0.05,11
"39","Alabama",1993,"Human","Unknown",2,56
"40","Alabama",1993,"Human","Unknown",22,19
"41","Alabama",1993,"Human","Unknown",262.5,1
"42","Alabama",1993,"Natural","Unknown",0.05,4
"43","Alabama",1993,"Natural","Unknown",2,13
"44","Alabama",1993,"Natural","Unknown",22,8
"45","Alabama",1994,"Human","Active/Suppressed",0.05,4
"46","Alabama",1994,"Human","Active/Suppressed",2,20
"47","Alabama",1994,"Human","Active/Suppressed",22,5
"48","Alabama",1994,"Human","Natural out",2,1
"49","Alabama",1994,"Human","Prescribed fire",22,1
"50","Alabama",1994,"Human","Unknown",0.05,3
"51","Alabama",1994,"Human","Unknown",2,24
"52","Alabama",1994,"Human","Unknown",22,20
"53","Alabama",1994,"Human","Unknown",80,1
"54","Alabama",1994,"Natural","Active/Suppressed",0.05,1
"55","Alabama",1994,"Natural","Active/Suppressed",22,1
"56","Alabama",1994,"Natural","Unknown",2,4
"57","Alabama",1994,"Natural","Unknown",22,5
"58","Alabama",1994,"Natural","Unknown",80,2
"59","Alabama",1995,"Human","Active/Suppressed",0.05,1
"60","Alabama",1995,"Human","Active/Suppressed",2,23
"61","Alabama",1995,"Human","Active/Suppressed",22,4
"62","Alabama",1995,"Human","Active/Suppressed",80,1
"63","Alabama",1995,"Human","Natural out",22,1
"64","Alabama",1995,"Human","Unknown",0.05,4
"65","Alabama",1995,"Human","Unknown",2,47
"66","Alabama",1995,"Human","Unknown",22,20
"67","Alabama",1995,"Human","Unknown",80,1
"68","Alabama",1995,"Human","Unknown",1214,1
"69","Alabama",1995,"Natural","Unknown",0.05,1
"70","Alabama",1995,"Natural","Unknown",2,21
"71","Alabama",1995,"Natural","Unknown",22,13
"72","Alabama",1996,"Human","Active/Suppressed",2,13
"73","Alabama",1996,"Human","Active/Suppressed",22,4
"74","Alabama",1996,"Human","Active/Suppressed",1214,1
"75","Alabama",1996,"Human","Natural out",2,1
